Shipment ID,Carrier,Origin,Destination
SHP-1001,RapidMove,Chennai,Nashik
SHP-1002,QuickShip,Mumbai,Vadodara
SHP-1003,FastFreight,Bangalore,Ahmedabad
SHP-1004,Delhivery,Bhopal,Srinagar
SHP-1005,BlueDart,Solapur,Jaipur
SHP-1006,Delhivery,Gurgaon,Patna
SHP-1007,Delhivery,Amritsar,Pune
SHP-1008,Delhivery,Mysore,Gurgaon
SHP-1009,FastFreight,Ghaziabad,Rajkot
SHP-1010,BlueDart,Kolkata,Agra
SHP-1011,RapidMove,Solapur,Noida
SHP-1012,BlueDart,Chandigarh,Bhopal
SHP-1013,Delhivery,Chandigarh,Jabalpur
SHP-1014,RapidMove,Delhi,Faridabad
SHP-1015,FastFreight,Vijayawada,Bangalore
SHP-1016,RapidMove,Srinagar,Navi Mumbai
SHP-1017,QuickShip,Jaipur,Navi Mumbai
SHP-1018,QuickShip,Mysore,Bangalore
SHP-1019,RapidMove,Ghaziabad,Chennai
SHP-1020,BlueDart,Varanasi,Delhi
SHP-1021,Delhivery,Chennai,Madurai
SHP-1022,QuickShip,Patna,Bangalore
SHP-1023,RapidMove,Delhi,Meerut
SHP-1024,QuickShip,Kota,Bangalore
SHP-1025,FastFreight,Kota,Ludhiana
SHP-1026,Delhivery,Faridabad,Noida
SHP-1027,Delhivery,Faridabad,Nagpur
SHP-1028,FastFreight,Guwahati,Solapur
SHP-1029,BlueDart,Ludhiana,Bhopal
SHP-1030,QuickShip,Agra,Chandigarh
SHP-1031,QuickShip,Jabalpur,Gwalior
SHP-1032,Delhivery,Chennai,Howrah
SHP-1033,Delhivery,Patna,Nagpur
SHP-1034,RapidMove,Varanasi,Kota
SHP-1035,FastFreight,Patna,Vijayawada
SHP-1036,RapidMove,Hyderabad,Ahmedabad
SHP-1037,QuickShip,Bangalore,Nagpur
SHP-1038,Delhivery,Ahmedabad,Rajkot
SHP-1039,BlueDart,Bangalore,Jodhpur
SHP-1040,FastFreight,Howrah,Mumbai
SHP-1041,RapidMove,Mysore,Madurai
SHP-1042,FastFreight,Amritsar,Nagpur
SHP-1043,Delhivery,Surat,Srinagar
SHP-1044,BlueDart,Chennai,Noida
SHP-1045,BlueDart,Bhopal,Rajkot
SHP-1046,Delhivery,Visakhapatnam,Patna
SHP-1047,RapidMove,Jabalpur,Madurai
SHP-1048,QuickShip,Meerut,Pune
SHP-1049,Delhivery,Ranchi,Pune
SHP-1050,RapidMove,Gurgaon,Agra
SHP-1051,FastFreight,Vijayawada,Jabalpur
SHP-1052,Delhivery,Howrah,Nashik
SHP-1053,FastFreight,Ludhiana,Mumbai
SHP-1054,QuickShip,Nashik,Lucknow
SHP-1055,QuickShip,Jaipur,Nagpur
SHP-1056,RapidMove,Nashik,Agra
SHP-1057,RapidMove,Ludhiana,Howrah
SHP-1058,QuickShip,Thane,Bangalore
SHP-1059,BlueDart,Visakhapatnam,Kolkata
SHP-1060,RapidMove,Delhi,Agra
SHP-1061,FastFreight,Delhi,Amritsar
SHP-1062,RapidMove,Thane,Chandigarh
SHP-1063,Delhivery,Chandigarh,Bhopal
SHP-1064,RapidMove,Ludhiana,Bangalore
SHP-1065,QuickShip,Lucknow,Noida
SHP-1066,RapidMove,Jabalpur,Bangalore
SHP-1067,FastFreight,Delhi,Madurai
SHP-1068,QuickShip,Faridabad,Lucknow
SHP-1069,Delhivery,Surat,Rajkot
SHP-1070,RapidMove,Solapur,Howrah
SHP-1071,FastFreight,Jaipur,Guwahati
SHP-1072,Delhivery,Jaipur,Nagpur
SHP-1073,BlueDart,Gwalior,Rajkot
SHP-1074,BlueDart,Amritsar,Meerut
SHP-1075,RapidMove,Pune,Mumbai
SHP-1076,FastFreight,Agra,Kota
SHP-1077,FastFreight,Jodhpur,Faridabad
SHP-1078,QuickShip,Ludhiana,Surat
SHP-1079,BlueDart,Howrah,Delhi
SHP-1080,RapidMove,Bhopal,Noida
SHP-1081,BlueDart,Surat,Bhopal
SHP-1082,RapidMove,Gurgaon,Ranchi
SHP-1083,FastFreight,Jodhpur,Guwahati
SHP-1084,BlueDart,Pune,Lucknow
SHP-1085,FastFreight,Howrah,Ranchi
SHP-1086,FastFreight,Nagpur,Thane
SHP-1087,Delhivery,Solapur,Lucknow
SHP-1088,BlueDart,Jabalpur,Ahmedabad
SHP-1089,BlueDart,Mysore,Pune
SHP-1090,BlueDart,Guwahati,Ludhiana
SHP-1091,FastFreight,Hyderabad,Solapur
SHP-1092,QuickShip,Amritsar,Bangalore
SHP-1093,RapidMove,Navi Mumbai,Guwahati
SHP-1094,BlueDart,Vijayawada,Vadodara
SHP-1095,FastFreight,Madurai,Visakhapatnam
SHP-1096,RapidMove,Lucknow,Vadodara
SHP-1097,QuickShip,Vadodara,Vijayawada
SHP-1098,Delhivery,Nashik,Madurai
SHP-1099,RapidMove,Nagpur,Ranchi
SHP-1100,RapidMove,Meerut,Visakhapatnam
SHP-1101,BlueDart,Meerut,Gurgaon
SHP-1102,Delhivery,Gwalior,Jaipur
SHP-1103,FastFreight,Mysore,Indore
SHP-1104,Delhivery,Lucknow,Howrah
SHP-1105,Delhivery,Gwalior,Ghaziabad
SHP-1106,FastFreight,Varanasi,Noida
SHP-1107,FastFreight,Solapur,Hyderabad
SHP-1108,QuickShip,Noida,Pune
SHP-1109,RapidMove,Mysore,Vijayawada
SHP-1110,QuickShip,Visakhapatnam,Delhi
SHP-1111,Delhivery,Indore,Bhopal
SHP-1112,BlueDart,Meerut,Surat
SHP-1113,QuickShip,Ghaziabad,Gurgaon
SHP-1114,RapidMove,Patna,Mumbai
SHP-1115,RapidMove,Pune,Vijayawada
SHP-1116,FastFreight,Amritsar,Rajkot
SHP-1117,FastFreight,Srinagar,Vijayawada
SHP-1118,FastFreight,Lucknow,Delhi
SHP-1119,QuickShip,Kota,Thane
SHP-1120,FastFreight,Rajkot,Jodhpur
SHP-1121,FastFreight,Surat,Meerut
SHP-1122,BlueDart,Faridabad,Kota
SHP-1123,QuickShip,Lucknow,Navi Mumbai
SHP-1124,BlueDart,Kota,Navi Mumbai
SHP-1125,QuickShip,Gurgaon,Nagpur
SHP-1126,RapidMove,Jabalpur,Noida
SHP-1127,BlueDart,Ahmedabad,Varanasi
SHP-1128,RapidMove,Pune,Rajkot
SHP-1129,QuickShip,Ranchi,Mysore
SHP-1130,FastFreight,Delhi,Meerut
SHP-1131,FastFreight,Solapur,Chennai
SHP-1132,FastFreight,Gwalior,Ludhiana
SHP-1133,Delhivery,Chandigarh,Solapur
SHP-1134,Delhivery,Kolkata,Raipur
SHP-1135,Delhivery,Gurgaon,Kota
SHP-1136,RapidMove,Ahmedabad,Madurai
SHP-1137,RapidMove,Howrah,Nagpur
SHP-1138,Delhivery,Vijayawada,Bhopal
SHP-1139,Delhivery,Vijayawada,Hyderabad
SHP-1140,Delhivery,Mumbai,Madurai
SHP-1141,Delhivery,Bangalore,Nashik
SHP-1142,Delhivery,Ranchi,Jabalpur
SHP-1143,QuickShip,Howrah,Kota
SHP-1144,Delhivery,Ghaziabad,Rajkot
SHP-1145,FastFreight,Ranchi,Kolkata
SHP-1146,Delhivery,Nashik,Varanasi
SHP-1147,BlueDart,Agra,Jabalpur
SHP-1148,Delhivery,Jaipur,Jodhpur
SHP-1149,FastFreight,Delhi,Solapur
SHP-1150,QuickShip,Madurai,Nagpur
SHP-1151,FastFreight,Chennai,Jaipur
SHP-1152,RapidMove,Mumbai,Vadodara
SHP-1153,QuickShip,Indore,Ranchi
SHP-1154,BlueDart,Jodhpur,Meerut
SHP-1155,QuickShip,Amritsar,Mumbai
SHP-1156,RapidMove,Gurgaon,Solapur
SHP-1157,BlueDart,Kolkata,Madurai
SHP-1158,FastFreight,Jaipur,Agra
SHP-1159,QuickShip,Pune,Madurai
SHP-1160,RapidMove,Raipur,Meerut
SHP-1161,FastFreight,Visakhapatnam,Nashik
SHP-1162,QuickShip,Ghaziabad,Guwahati
SHP-1163,Delhivery,Faridabad,Agra
SHP-1164,QuickShip,Vadodara,Faridabad
SHP-1165,FastFreight,Ahmedabad,Mysore
SHP-1166,BlueDart,Bangalore,Jaipur
SHP-1167,QuickShip,Hyderabad,Kota
SHP-1168,BlueDart,Kota,Faridabad
SHP-1169,RapidMove,Navi Mumbai,Jabalpur
SHP-1170,Delhivery,Chennai,Srinagar
SHP-1171,FastFreight,Hyderabad,Chennai
SHP-1172,Delhivery,Gwalior,Visakhapatnam
SHP-1173,RapidMove,Indore,Varanasi
SHP-1174,BlueDart,Gwalior,Rajkot
SHP-1175,BlueDart,Vijayawada,Mumbai
SHP-1176,FastFreight,Gurgaon,Srinagar
SHP-1177,QuickShip,Rajkot,Pune
SHP-1178,RapidMove,Lucknow,Gurgaon
SHP-1179,BlueDart,Srinagar,Kolkata
SHP-1180,RapidMove,Chandigarh,Jaipur
SHP-1181,FastFreight,Thane,Ludhiana
SHP-1182,Delhivery,Rajkot,Srinagar
SHP-1183,RapidMove,Ludhiana,Varanasi
SHP-1184,Delhivery,Varanasi,Chandigarh
SHP-1185,FastFreight,Navi Mumbai,Delhi
SHP-1186,RapidMove,Ranchi,Bhopal
SHP-1187,FastFreight,Vijayawada,Jabalpur
SHP-1188,BlueDart,Faridabad,Jodhpur
SHP-1189,Delhivery,Jabalpur,Thane
SHP-1190,QuickShip,Solapur,Rajkot
SHP-1191,Delhivery,Chandigarh,Kolkata
SHP-1192,Delhivery,Hyderabad,Navi Mumbai
SHP-1193,RapidMove,Varanasi,Guwahati
SHP-1194,QuickShip,Mumbai,Hyderabad
SHP-1195,Delhivery,Raipur,Pune
SHP-1196,Delhivery,Agra,Navi Mumbai
SHP-1197,QuickShip,Surat,Gwalior
SHP-1198,Delhivery,Ahmedabad,Mumbai
SHP-1199,QuickShip,Madurai,Vijayawada
SHP-1200,RapidMove,Jabalpur,Noida
SHP-1201,FastFreight,Ludhiana,Jabalpur
SHP-1202,BlueDart,Kolkata,Vadodara
SHP-1203,FastFreight,Meerut,Kolkata
SHP-1204,FastFreight,Meerut,Varanasi
SHP-1205,Delhivery,Ghaziabad,Jaipur
SHP-1206,QuickShip,Chennai,Hyderabad
SHP-1207,RapidMove,Madurai,Agra
SHP-1208,BlueDart,Vadodara,Solapur
SHP-1209,FastFreight,Indore,Srinagar
SHP-1210,QuickShip,Ranchi,Surat
SHP-1211,BlueDart,Jabalpur,Kota
SHP-1212,BlueDart,Bangalore,Delhi
SHP-1213,FastFreight,Jodhpur,Meerut
SHP-1214,RapidMove,Howrah,Indore
SHP-1215,RapidMove,Pune,Thane
SHP-1216,BlueDart,Jodhpur,Vadodara
SHP-1217,BlueDart,Chennai,Bhopal
SHP-1218,QuickShip,Visakhapatnam,Nagpur
SHP-1219,QuickShip,Amritsar,Ahmedabad
SHP-1220,FastFreight,Nashik,Bangalore
SHP-1221,BlueDart,Mysore,Srinagar
SHP-1222,RapidMove,Ghaziabad,Vijayawada
SHP-1223,BlueDart,Mumbai,Gurgaon
SHP-1224,BlueDart,Solapur,Hyderabad
SHP-1225,Delhivery,Agra,Thane
SHP-1226,QuickShip,Kota,Solapur
SHP-1227,BlueDart,Ludhiana,Mysore
